,contig ID,Seq Coverage
0,tig00000588,96.5148704406668
1,tig00000416,96.5702987324225
2,tig00003966,97.7926139265872
3,tig00000615,97.8551209549763
4,tig00003926,99.4223167623429
5,tig00000412,100.025149232181
6,tig00000435,100.153319088068
7,tig00000423,100.281084407644
8,tig00000271,101.32133426773
9,tig00003971,101.455591285528
10,tig00000313,102.577500776706
11,tig00000369,103.444765486836
12,tig00000331,103.746255356849
13,tig00003934,104.156784565916
14,tig00003947,105.198012133729
15,tig00003981,105.526437956809
16,tig00000061,105.934429703146
17,tig00000145,105.956184253209
18,tig00003931,106.840775693405
19,tig00003970,106.957585531393
20,tig00000089,107.184898397161
21,tig00000300,107.338929508494
22,tig00000454,107.58620779443
23,tig00003984,107.747245284404
24,tig00000228,108.609645574587
25,tig00000158,108.718165665454
26,tig00000334,109.01904702643
27,tig00003933,109.401108341037
28,tig00003977,109.560296729798
29,tig00003940,109.958128678419
30,tig00000190,109.998221653338
31,tig00003944,110.811970449771
32,tig00000210,111.045944152946
33,tig00000530,111.196817681319
34,tig00000128,111.442449434002
35,tig00003974,111.465649849638
36,tig00003922,111.513728346891
37,tig00000152,111.783176356699
38,tig00000489,111.899318691823
39,tig00003976,111.904943529237
40,tig00000040,112.039203092477
41,tig00000311,112.902975110087
42,tig00000473,113.076340560881
43,tig00003921,113.796338978522
44,tig00000168,113.825841260826
45,tig00000082,114.074138192753
46,tig00000351,114.174283469126
47,tig00003920,114.640727855164
48,tig00000410,114.839900608345
49,tig00003964,114.968148465006
50,tig00000438,115.072876564329
51,tig00000096,115.15728991933
52,tig00000272,115.177932080684
53,tig00003937,115.834283170352
54,tig00000192,115.996785295304
55,tig00000482,116.219905744114
56,tig00000564,116.252698504511
57,tig00000053,116.718317611904
58,tig00003936,118.024717090091
59,tig00000241,118.32368897435
60,tig00000269,118.350609112238
61,tig00000415,120.973500612203
62,tig00000034,122.732796678018
63,tig00000238,128.024544226526
64,tig00000572,134.926220273439
65,tig00003957,139.902591105067
66,tig00000392,147.940674169265
67,tig00003955,159.328832116788
68,tig00000498,166.135377317052
69,tig00000105,179.243207214189
70,tig00000330,41.1418024522718
71,tig00000631,530.431266846361
72,tig00000917,10.1707651835754
73,tig00000845,10.8412067854842
74,tig00001063,10.891126266091
